OBJECTID,MUKEY,GIS_ID,TYPE,DESC_,SLOPE,TYPEDESC,SLOPEDESC,TYPE_ORIG,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN
2226,128566,SoilPly_2229,Be,"Beltsville-urban land complex, 0 to 8 percent slopes",B,Beltsville-urban land complex,0 to 8 percent slopes,BeB,{A368CE9C-5BD4-4379-95FA-E35D45519A0F},,,,,0,0
2227,128666,SoilPly_2230,U5,"Udorthents, Clayey", ,"Udorthents, Clayey", ,U5,{F8B1B84E-8871-488D-8604-B6E98DFEA2D2},,,,,0,0
2228,128677,SoilPly_2231,Uf,"Urban land-Christiana complex, 0 to 8 percent slopes",B,Urban land-Christiana complex,0 to 8 percent slopes,UfB,{6A7CEF94-005E-454F-84C1-CA1359A42657},,,,,0,0
2229,128639,SoilPly_2232,Mv,"Muirkirk variant complex, 15 to 40 percent slopes",D,Muirkirk variant complex,15 to 40 percent slopes,MvD,{8429C2AC-671D-49CE-ADCE-ACD373DF1E88},,,,,0,0
2230,128602,SoilPly_2233,Ge,"Galestown-urban land complex, 0 to 8 percent slopes",B,Galestown-urban land complex,0 to 8 percent slopes,GeB,{F99A2FE7-52DD-413E-973C-CB98BF2AFE35},,,,,0,0
2231,128593,SoilPly_2234,Cx,"Croom-urban land complex, 0 to 8 percent slopes",B,Croom-urban land complex,0 to 8 percent slopes,CxB,{889DA8D5-75B0-4AC4-BCB4-C365802C1214},,,,,0,0
2232,128581,SoilPly_2235,Cd,"Chillum-urban land complex,  15 to 40 percent slopes",D,Chillum-urban land complex,15 to 40 percent slopes,CdD,{6D94B9CE-8D52-4348-8506-020941E176E8},,,,,0,0
2233,128676,SoilPly_2236,Ue,"Urban land-Chillum complex, 8 to 15 percent slopes",C,Urban land-Chillum complex,8 to 15 percent slopes,UeC,{6979B383-E005-43FB-A301-6B4B44FA9250},,,,,0,0
2234,128587,SoilPly_2173,Cf,"Christiana-urban land complex, 15 to 40 percent slopes",D,Christiana-urban land complex,15 to 40 percent slopes,CfD,{1402DD4C-4B18-4BFA-A2F4-1034140EEC4B},,,,,0,0
2235,128623,SoilPly_2174,Km,"Keyport-urban land complex, 0 to 8 percent slopes",B,Keyport-urban land complex,0 to 8 percent slopes,KmB,{55FA8853-8B0F-4D78-901A-140A7D46712D},,,,,0,0
2236,128678,SoilPly_2175,Uf,"Urban land-Christiana complex, 8 to 15 percent slopes",C,Urban land-Christiana complex,8 to 15 percent slopes,UfC,{E0133822-0469-4E81-8E70-7672B20C47CF},,,,,0,0
2237,128639,SoilPly_2241,Mv,"Muirkirk variant complex, 15 to 40 percent slopes",D,Muirkirk variant complex,15 to 40 percent slopes,MvD,{D83EF40A-067E-4F3E-AAA8-4A1539FA237C},,,,,0,0
2238,128587,SoilPly_2242,Cf,"Christiana-urban land complex, 15 to 40 percent slopes",D,Christiana-urban land complex,15 to 40 percent slopes,CfD,{172EFC42-D7CC-41C3-9585-5AB76693E6F0},,,,,0,0
2239,128586,SoilPly_2243,Cf,"Christiana-urban land complex, 8 to 15 percent slopes",C,Christiana-urban land complex,8 to 15 percent slopes,CfC,{4136C2D8-897D-4175-A1CA-FD059298868F},,,,,0,0
2240,128659,SoilPly_2244,U1,"Udorthents, clayey, smoothed",0,"Udorthents, clayey, smoothed", ,U10,{542A09A0-436F-446D-8448-AD5729F26BD3},,,,,0,0
2241,128678,SoilPly_2245,Uf,"Urban land-Christiana complex, 8 to 15 percent slopes",C,Urban land-Christiana complex,8 to 15 percent slopes,UfC,{2E25756B-1CE5-4896-BB41-4F61FE1F81C4},,,,,0,0
2242,128594,SoilPly_2246,Cx,"Croom-urban land complex, 8 to 15 percent slopes",C,Croom-urban land complex,8 to 15 percent slopes,CxC,{AC06B6AE-71C0-43D5-AA3B-8E4FCC10A05E},,,,,0,0
2243,128592,SoilPly_2247,Cw,"Croom very gravelly sandy loam, 15 to 40 percent slopes",D,Croom very gravelly sandy loam,15 to 40 percent slopes,CwD,{A15935AF-7A67-4DCB-9F3B-945F0D832E1F},,,,,0,0
2244,128586,SoilPly_2248,Cf,"Christiana-urban land complex, 8 to 15 percent slopes",C,Christiana-urban land complex,8 to 15 percent slopes,CfC,{C9913FE0-2F94-4583-AE3B-74BC007173F8},,,,,0,0
2245,128658,SoilPly_2249,U1,Udorthents, ,Udorthents, ,U1,{63D31296-E69E-4958-80C0-F4EA275FD71E},,,,,0,0
2246,128639,SoilPly_2250,Mv,"Muirkirk variant complex, 15 to 40 percent slopes",D,Muirkirk variant complex,15 to 40 percent slopes,MvD,{CB7C9071-2786-4B86-9E15-48CD41DB5730},,,,,0,0
2247,128672,SoilPly_2251,Ub,Urban Land, ,Urban Land, ,Ub,{6225927F-2302-4FF5-AF1F-EAAC9B8B84EF},,,,,0,0
2248,128663,SoilPly_2252,U2,"Udorthents , Gravelly", ,"Udorthents , Gravelly", ,U2,{FD64855F-E718-436E-BA41-1F6F01B4ABD7},,,,,0,0
2249,128592,SoilPly_2253,Cw,"Croom very gravelly sandy loam, 15 to 40 percent slopes",D,Croom very gravelly sandy loam,15 to 40 percent slopes,CwD,{532CD7E9-BC61-4055-A0E3-18DAC8B604BC},,,,,0,0
2250,128580,SoilPly_2254,Cd,"Chillum-urban land complex,  8 to 15 percent slopes",C,Chillum-urban land complex,8 to 15 percent slopes,CdC,{4AD9A792-CF1D-4363-9C72-BE8AF23EB0E4},,,,,0,0
2251,128581,SoilPly_2255,Cd,"Chillum-urban land complex,  15 to 40 percent slopes",D,Chillum-urban land complex,15 to 40 percent slopes,CdD,{57C029E0-E085-4A46-BD56-B866A4494DF4},,,,,0,0
2252,128599,SoilPly_2256,FF,Fluvaquents - Udifluvents Complex, ,Fluvaquents - Udifluvents Complex, ,FF,{C0A63BB1-9B78-44C5-9E12-4BFAD3C9C0C6},,,,,0,0
2253,128583,SoilPly_2257,Ce,"Christiana silt loam, 8 to 15 percent slopes",C,Christiana silt loam,8 to 15 percent slopes,CeC,{FF7633FF-7AB7-4677-A6FA-CD2746130047},,,,,0,0
2254,128580,SoilPly_2258,Cd,"Chillum-urban land complex,  8 to 15 percent slopes",C,Chillum-urban land complex,8 to 15 percent slopes,CdC,{CB70FC6C-8C7A-45AA-BA20-CFA130084ED6},,,,,0,0
2255,128586,SoilPly_2259,Cf,"Christiana-urban land complex, 8 to 15 percent slopes",C,Christiana-urban land complex,8 to 15 percent slopes,CfC,{22C206DD-8618-4D77-9961-A3FD7BA16141},,,,,0,0
2256,128658,SoilPly_2260,U1,Udorthents, ,Udorthents, ,U1,{8C211966-474F-41AE-A9CE-3DFE2B7F9413},,,,,0,0
2257,128585,SoilPly_2261,Cf,"Christiana-urban land complex, 0 to 8 percent slopes",B,Christiana-urban land complex,0 to 8 percent slopes,CfB,{9D626425-0389-4BA2-BBD0-0A52FEDBFA89},,,,,0,0
2258,128580,SoilPly_2262,Cd,"Chillum-urban land complex,  8 to 15 percent slopes",C,Chillum-urban land complex,8 to 15 percent slopes,CdC,{26211BAC-32EF-480B-B17F-B8B40203F7C1},,,,,0,0
2259,128581,SoilPly_2263,Cd,"Chillum-urban land complex,  15 to 40 percent slopes",D,Chillum-urban land complex,15 to 40 percent slopes,CdD,{B56AACA1-9331-4F37-8A52-617475271971},,,,,0,0
2260,128638,SoilPly_2264,Mv,"Muirkirk variant complex, 8 to 15 percent slopes",C,Muirkirk variant complex,8 to 15 percent slopes,MvC,{ED6C6B2E-5E7E-4B04-A56A-DEF4FDC2673A},,,,,0,0
2261,128639,SoilPly_2265,Mv,"Muirkirk variant complex, 15 to 40 percent slopes",D,Muirkirk variant complex,15 to 40 percent slopes,MvD,{F9A46D60-02C7-4575-B447-8342D71DEFD2},,,,,0,0
2262,128672,SoilPly_2266,Ub,Urban Land, ,Urban Land, ,Ub,{6A9A6AB1-67A8-4B08-93B7-5790E6F15FBC},,,,,0,0
2263,128658,SoilPly_2267,U1,Udorthents, ,Udorthents, ,U1,{BF183A7A-C706-45A5-B496-D4BB895D401F},,,,,0,0
2264,128658,SoilPly_2268,U1,Udorthents, ,Udorthents, ,U1,{93FB3A10-E062-4163-A3A7-8C39D91A7BAE},,,,,0,0
2265,128658,SoilPly_2269,U1,Udorthents, ,Udorthents, ,U1,{EB5A69AE-236C-4ED1-9C13-13C8E3615795},,,,,0,0
2266,128586,SoilPly_2270,Cf,"Christiana-urban land complex, 8 to 15 percent slopes",C,Christiana-urban land complex,8 to 15 percent slopes,CfC,{CC2EB2DD-28A9-41BC-ACA7-E97DDB8EBB71},,,,,0,0
2267,128668,SoilPly_2271,U7,"Udorthents, Gravelly, Smoothed", ,"Udorthents, Gravelly, Smoothed", ,U7,{D2E56B5C-7551-4B10-8FAD-78263D853AF4},,,,,0,0
2268,128577,SoilPly_2272,Cc,"Chillum silt loam, 8 to 15 percent slopes",C,Chillum silt loam,8 to 15 percent slopes,CcC,{5055933D-7266-4475-BE9A-51986603C3CD},,,,,0,0
2269,128591,SoilPly_2273,Cw,"Croom very gravelly sandy loam, 8 to 15 percent slopes",C,Croom very gravelly sandy loam,8 to 15 percent slopes,CwC,{0A9C7F83-8E65-4EFA-B858-9901F3A3D33D},,,,,0,0
2270,128658,SoilPly_2274,U1,Udorthents, ,Udorthents, ,U1,{22389457-7318-4E21-9B66-26C0E4592AED},,,,,0,0
2271,128586,SoilPly_2275,Cf,"Christiana-urban land complex, 8 to 15 percent slopes",C,Christiana-urban land complex,8 to 15 percent slopes,CfC,{BEF4D020-70C1-4B50-AD89-7529A4301952},,,,,0,0
2272,128638,SoilPly_2276,Mv,"Muirkirk variant complex, 8 to 15 percent slopes",C,Muirkirk variant complex,8 to 15 percent slopes,MvC,{7EAEFF2E-2B5C-4494-86B2-806C13B4B89A},,,,,0,0
2273,128648,SoilPly_2277,Sc,"Sassafras gravelly sandy loam, 15 to 40 percent slopes",D,Sassafras gravelly sandy loam,15 to 40 percent slopes,ScD,{87149356-9AA4-497F-8D26-E4A65E6FFE70},,,,,0,0
2274,128596,SoilPly_2278,Dn,Dunning Soils, ,Dunning Soils, ,Dn,{87AA2FCE-B49F-40B6-A77C-BDCE93D4E9CB},,,,,0,0
2275,128577,SoilPly_2279,Cc,"Chillum silt loam, 8 to 15 percent slopes",C,Chillum silt loam,8 to 15 percent slopes,CcC,{7F844D14-169C-404F-892C-92459E6FAE01},,,,,0,0
2276,128580,SoilPly_2280,Cd,"Chillum-urban land complex,  8 to 15 percent slopes",C,Chillum-urban land complex,8 to 15 percent slopes,CdC,{08BE8B5A-7C8E-4EE9-B1C7-D7939CF6BBE1},,,,,0,0
2277,128639,SoilPly_2281,Mv,"Muirkirk variant complex, 15 to 40 percent slopes",D,Muirkirk variant complex,15 to 40 percent slopes,MvD,{2E40A9E9-0CE2-4156-BC74-214FF78C46D3},,,,,0,0
2278,128658,SoilPly_2282,U1,Udorthents, ,Udorthents, ,U1,{8036BC14-54C1-4CD8-AD6C-01D9E7177619},,,,,0,0
2279,128666,SoilPly_2283,U5,"Udorthents, Clayey", ,"Udorthents, Clayey", ,U5,{9C372F22-D5B1-4A0A-BF59-59395ADFC33D},,,,,0,0
2280,128663,SoilPly_2284,U2,"Udorthents , Gravelly", ,"Udorthents , Gravelly", ,U2,{E9DD2E53-FA32-4AC7-ACBE-30645BBBA4A2},,,,,0,0
2281,128672,SoilPly_2285,Ub,Urban Land, ,Urban Land, ,Ub,{6150D625-E1C4-4678-9981-33FC86DF2AA2},,,,,0,0
2282,128691,SoilPly_2286,Wp,"Woodstown-urban land complex, 0 to 8 percent slopes",B,Woodstown-urban land complex,0 to 8 percent slopes,WpB,{B79DE6AF-C061-4A45-9196-09410D7961D8},,,,,0,0
2283,128668,SoilPly_2287,U7,"Udorthents, Gravelly, Smoothed", ,"Udorthents, Gravelly, Smoothed", ,U7,{C02F974B-29D1-4611-96DD-EEB9F72A9D16},,,,,0,0
2284,128658,SoilPly_2288,U1,Udorthents, ,Udorthents, ,U1,{6C46DE8F-5531-4881-9746-529928CF54AE},,,,,0,0
2285,128613,SoilPly_2289,Ik,Iuka - Sandy Loam, ,Iuka - Sandy Loam, ,Ik,{9195F8A4-CC1F-4027-9990-E486DB628A77},,,,,0,0
2286,128666,SoilPly_2290,U5,"Udorthents, Clayey", ,"Udorthents, Clayey", ,U5,{F8EAF137-3B51-4F27-9B5C-4BFA6BD325F7},,,,,0,0
2287,128587,SoilPly_2291,Cf,"Christiana-urban land complex, 15 to 40 percent slopes",D,Christiana-urban land complex,15 to 40 percent slopes,CfD,{34DBE4D6-8436-418E-8A61-80EA7E5F6D94},,,,,0,0
2288,128565,SoilPly_2292,Bd,"Beltsville silt loam, 0 to 8 percent slopes",B,Beltsville silt loam,0 to 8 percent slopes,BdB,{2D1FF8AD-6E02-468C-825A-CE260D2B6381},,,,,0,0
2289,128638,SoilPly_2293,Mv,"Muirkirk variant complex, 8 to 15 percent slopes",C,Muirkirk variant complex,8 to 15 percent slopes,MvC,{DC4F28BD-B6C1-46F2-BB35-C72C2558BF85},,,,,0,0
2290,128586,SoilPly_2294,Cf,"Christiana-urban land complex, 8 to 15 percent slopes",C,Christiana-urban land complex,8 to 15 percent slopes,CfC,{E1496F50-CCC4-4572-BC1B-3CC99A35A054},,,,,0,0
2291,128594,SoilPly_2295,Cx,"Croom-urban land complex, 8 to 15 percent slopes",C,Croom-urban land complex,8 to 15 percent slopes,CxC,{867B7027-18BC-47FF-9081-9D8D3C974E03},,,,,0,0
2292,128594,SoilPly_2296,Cx,"Croom-urban land complex, 8 to 15 percent slopes",C,Croom-urban land complex,8 to 15 percent slopes,CxC,{3FE6E334-CED9-455B-BAE6-E63107F1E961},,,,,0,0
2293,128587,SoilPly_2297,Cf,"Christiana-urban land complex, 15 to 40 percent slopes",D,Christiana-urban land complex,15 to 40 percent slopes,CfD,{9440BAE2-72E8-40EF-9548-AE8805989527},,,,,0,0
2294,128595,SoilPly_2298,Cx,"Croom-urban land complex, 15 to 40 percent slopes",D,Croom-urban land complex,15 to 40 percent slopes,CxD,{34C6F754-037A-4B2B-883A-3513AC185FFD},,,,,0,0
2295,128659,SoilPly_2299,U1,"Udorthents, clayey, smoothed",0,"Udorthents, clayey, smoothed", ,U10,{37917ED9-3A37-49E5-8DF3-A2892778B200},,,,,0,0
2296,128577,SoilPly_2300,Cc,"Chillum silt loam, 8 to 15 percent slopes",C,Chillum silt loam,8 to 15 percent slopes,CcC,{61E9751F-871C-4591-914A-69D715412B2D},,,,,0,0
2297,128587,SoilPly_2301,Cf,"Christiana-urban land complex, 15 to 40 percent slopes",D,Christiana-urban land complex,15 to 40 percent slopes,CfD,{CF0FF77B-E8EF-4A85-B805-0DC008CDB513},,,,,0,0
2298,128591,SoilPly_2302,Cw,"Croom very gravelly sandy loam, 8 to 15 percent slopes",C,Croom very gravelly sandy loam,8 to 15 percent slopes,CwC,{FABDEB2E-FF5D-4151-9D70-07B96C3C7C77},,,,,0,0
2299,128593,SoilPly_2303,Cx,"Croom-urban land complex, 0 to 8 percent slopes",B,Croom-urban land complex,0 to 8 percent slopes,CxB,{FBBC9347-30D0-4156-A5E2-7ED0A5611EDA},,,,,0,0
2300,128580,SoilPly_2304,Cd,"Chillum-urban land complex,  8 to 15 percent slopes",C,Chillum-urban land complex,8 to 15 percent slopes,CdC,{59E86946-5650-44BA-86B3-D86693930EDC},,,,,0,0
2301,128584,SoilPly_2305,Ce,"Christiana silt loam, 15 to 40 percent slopes",D,Christiana silt loam,15 to 40 percent slopes,CeD,{22CBC286-5347-4BB5-A3FE-0EEEA114C188},,,,,0,0
2302,128658,SoilPly_2306,U1,Udorthents, ,Udorthents, ,U1,{EBE9A7DA-6DF2-49D3-BEC4-41376225E660},,,,,0,0
2303,128675,SoilPly_2307,Ue,"Urban land-Chillum complex, 0 to 8 percent slopes",B,Urban land-Chillum complex,0 to 8 percent slopes,UeB,{9611BFA3-5F40-4183-AFAC-15145CF9908B},,,,,0,0
2304,128579,SoilPly_2237,Cd,"Chillum-urban land complex,  0 to 8 percent slopes",B,Chillum-urban land complex,0 to 8 percent slopes,CdB,{1893856E-E6F2-439B-B767-2786370BE0FC},,,,,0,0
2305,128583,SoilPly_2238,Ce,"Christiana silt loam, 8 to 15 percent slopes",C,Christiana silt loam,8 to 15 percent slopes,CeC,{361339BB-A8BA-4EB9-9445-6A5039F4CF6F},,,,,0,0
2306,128584,SoilPly_2239,Ce,"Christiana silt loam, 15 to 40 percent slopes",D,Christiana silt loam,15 to 40 percent slopes,CeD,{A1E0634B-0045-48C7-938F-79047E02FC50},,,,,0,0
2307,128580,SoilPly_2240,Cd,"Chillum-urban land complex,  8 to 15 percent slopes",C,Chillum-urban land complex,8 to 15 percent slopes,CdC,{93246F58-C2B1-4AE2-A012-414309CBBFED},,,,,0,0
2308,128592,SoilPly_2330,Cw,"Croom very gravelly sandy loam, 15 to 40 percent slopes",D,Croom very gravelly sandy loam,15 to 40 percent slopes,CwD,{9065018F-BF7E-435E-AC8D-FB3CAF558DE2},,,,,0,0
2309,128584,SoilPly_2331,Ce,"Christiana silt loam, 15 to 40 percent slopes",D,Christiana silt loam,15 to 40 percent slopes,CeD,{781183AD-1ABA-455E-AADB-F5AFA3362724},,,,,0,0
2310,128650,SoilPly_2332,Sg,"Sassafras-urban land complex, 8 to 15 percent slopes",C,Sassafras-urban land complex,8 to 15 percent slopes,SgC,{8D110B91-0FAF-486D-9DED-F9D62DF8966D},,,,,0,0
2311,128664,SoilPly_2333,U3,"Udorthents, Sandy", ,"Udorthents, Sandy", ,U3,{493623BC-7769-4926-B421-850AAA72C289},,,,,0,0
2312,128591,SoilPly_2334,Cw,"Croom very gravelly sandy loam, 8 to 15 percent slopes",C,Croom very gravelly sandy loam,8 to 15 percent slopes,CwC,{24D596F3-7CE8-46A5-8D31-76E8F174B9AD},,,,,0,0
2313,128583,SoilPly_2335,Ce,"Christiana silt loam, 8 to 15 percent slopes",C,Christiana silt loam,8 to 15 percent slopes,CeC,{7BDD266F-5B56-443A-8627-5CA45FC15FE5},,,,,0,0
2314,128668,SoilPly_2336,U7,"Udorthents, Gravelly, Smoothed", ,"Udorthents, Gravelly, Smoothed", ,U7,{C9A9C784-5CA4-4DA6-B487-DF08B629C03C},,,,,0,0
2315,128676,SoilPly_2337,Ue,"Urban land-Chillum complex, 8 to 15 percent slopes",C,Urban land-Chillum complex,8 to 15 percent slopes,UeC,{224274B1-B765-4FC3-808A-F9F0C5CB6F43},,,,,0,0
2316,128635,SoilPly_2338,Mh,"Matapeake-urban land complex, 0 to 8 percent slopes",B,Matapeake-urban land complex,0 to 8 percent slopes,MhB,{676F4035-F7EE-454C-91DA-47DECBEC29D1},,,,,0,0
2317,128638,SoilPly_2339,Mv,"Muirkirk variant complex, 8 to 15 percent slopes",C,Muirkirk variant complex,8 to 15 percent slopes,MvC,{A74B96A7-900D-4EFA-B06E-F5A78B596505},,,,,0,0
2318,128645,SoilPly_2340,Sa,"Sassafras sandy loam, 8 to 15 percent slopes",C,Sassafras sandy loam,8 to 15 percent slopes,SaC,{5A91755F-45EA-4D6E-9FEE-57DF54C91770},,,,,0,0
2319,128639,SoilPly_2341,Mv,"Muirkirk variant complex, 15 to 40 percent slopes",D,Muirkirk variant complex,15 to 40 percent slopes,MvD,{90EC01B8-D2D0-4F39-B79E-473BEDC90713},,,,,0,0
2320,128576,SoilPly_2342,Cc,"Chillum silt loam, 0 to 8 percent slopes",B,Chillum silt loam,0 to 8 percent slopes,CcB,{BFB4B7F7-ACFE-4084-8A25-637A52BEC269},,,,,0,0
2321,128583,SoilPly_2343,Ce,"Christiana silt loam, 8 to 15 percent slopes",C,Christiana silt loam,8 to 15 percent slopes,CeC,{451E69E0-93DC-40CA-8F5B-1F4049E3E948},,,,,0,0
2322,128624,SoilPly_2344,Km,"Keyport-urban land complex, 8 to 15 percent slopes",C,Keyport-urban land complex,8 to 15 percent slopes,KmC,{80540FD8-FB76-470C-8CAE-C24D512A3A30},,,,,0,0
2323,128658,SoilPly_2345,U1,Udorthents, ,Udorthents, ,U1,{2CE0987A-D5C2-438A-9B75-375AB6B3C25E},,,,,0,0
2324,128566,SoilPly_2346,Be,"Beltsville-urban land complex, 0 to 8 percent slopes",B,Beltsville-urban land complex,0 to 8 percent slopes,BeB,{F1AFF17B-38E3-40DD-876B-60046EE7CA8E},,,,,0,0
2325,128672,SoilPly_2347,Ub,Urban Land, ,Urban Land, ,Ub,{F95E1B46-5A98-4A9C-81EB-00A31D1BE377},,,,,0,0
2326,128581,SoilPly_2348,Cd,"Chillum-urban land complex,  15 to 40 percent slopes",D,Chillum-urban land complex,15 to 40 percent slopes,CdD,{D69CF226-2138-41CB-BB77-E756EE677D1E},,,,,0,0
2327,128587,SoilPly_2349,Cf,"Christiana-urban land complex, 15 to 40 percent slopes",D,Christiana-urban land complex,15 to 40 percent slopes,CfD,{9FFD92B8-EC80-47BB-B023-9A86DAF1B9E9},,,,,0,0
2328,128594,SoilPly_2350,Cx,"Croom-urban land complex, 8 to 15 percent slopes",C,Croom-urban land complex,8 to 15 percent slopes,CxC,{A9F5949B-6BF8-4413-92B9-0985D518AF66},,,,,0,0
2329,128566,SoilPly_2351,Be,"Beltsville-urban land complex, 0 to 8 percent slopes",B,Beltsville-urban land complex,0 to 8 percent slopes,BeB,{9BB8A103-DD34-436A-A01A-A7DD625AE031},,,,,0,0
2330,128663,SoilPly_2352,U2,"Udorthents , Gravelly", ,"Udorthents , Gravelly", ,U2,{910943FE-4484-4A51-B9C4-AEB2BD460027},,,,,0,0
2331,128592,SoilPly_2353,Cw,"Croom very gravelly sandy loam, 15 to 40 percent slopes",D,Croom very gravelly sandy loam,15 to 40 percent slopes,CwD,{E1E8021F-A195-4A45-8BA6-38DFF994C824},,,,,0,0
2332,128580,SoilPly_2354,Cd,"Chillum-urban land complex,  8 to 15 percent slopes",C,Chillum-urban land complex,8 to 15 percent slopes,CdC,{62B5D503-1C2F-4366-8060-0057BBCCAB2D},,,,,0,0
2333,128668,SoilPly_2355,U7,"Udorthents, Gravelly, Smoothed", ,"Udorthents, Gravelly, Smoothed", ,U7,{F71B51B2-33F1-4250-B98F-2A4C39A011C0},,,,,0,0
2334,128587,SoilPly_2356,Cf,"Christiana-urban land complex, 15 to 40 percent slopes",D,Christiana-urban land complex,15 to 40 percent slopes,CfD,{B2D22194-64F7-494F-AF8B-7E5B1E1E6E3B},,,,,0,0
2335,128579,SoilPly_2357,Cd,"Chillum-urban land complex,  0 to 8 percent slopes",B,Chillum-urban land complex,0 to 8 percent slopes,CdB,{527DD776-C8BC-49F4-82F9-FBC50DF03323},,,,,0,0
2336,128594,SoilPly_2358,Cx,"Croom-urban land complex, 8 to 15 percent slopes",C,Croom-urban land complex,8 to 15 percent slopes,CxC,{BB5E7C67-4825-472A-8D55-5A08B9F7DBD5},,,,,0,0
2337,128638,SoilPly_2359,Mv,"Muirkirk variant complex, 8 to 15 percent slopes",C,Muirkirk variant complex,8 to 15 percent slopes,MvC,{6B312EE0-03E0-49EC-9E23-51EED75053DC},,,,,0,0
2338,128580,SoilPly_2360,Cd,"Chillum-urban land complex,  8 to 15 percent slopes",C,Chillum-urban land complex,8 to 15 percent slopes,CdC,{C8865C79-7C37-4D14-A057-0A252586F656},,,,,0,0
2339,128594,SoilPly_2361,Cx,"Croom-urban land complex, 8 to 15 percent slopes",C,Croom-urban land complex,8 to 15 percent slopes,CxC,{30E807C9-1F70-403C-9117-1E2FC11A439E},,,,,0,0
2340,128566,SoilPly_2362,Be,"Beltsville-urban land complex, 0 to 8 percent slopes",B,Beltsville-urban land complex,0 to 8 percent slopes,BeB,{A3E4BF70-C970-4D7D-A9F0-4E353C9496A3},,,,,0,0
2341,128591,SoilPly_2363,Cw,"Croom very gravelly sandy loam, 8 to 15 percent slopes",C,Croom very gravelly sandy loam,8 to 15 percent slopes,CwC,{8E6E9F3B-EC36-400D-B169-26400EF2F769},,,,,0,0
2342,128658,SoilPly_2364,U1,Udorthents, ,Udorthents, ,U1,{435ED496-3292-43BD-94DC-44F4837729E5},,,,,0,0
2343,128639,SoilPly_2365,Mv,"Muirkirk variant complex, 15 to 40 percent slopes",D,Muirkirk variant complex,15 to 40 percent slopes,MvD,{40AB1BD8-4AED-41B4-99F8-EA98488E0BF3},,,,,0,0
2344,128585,SoilPly_2366,Cf,"Christiana-urban land complex, 0 to 8 percent slopes",B,Christiana-urban land complex,0 to 8 percent slopes,CfB,{CC679656-46FE-41A6-9FC8-A4E9D88CBDA9},,,,,0,0
2345,128639,SoilPly_2367,Mv,"Muirkirk variant complex, 15 to 40 percent slopes",D,Muirkirk variant complex,15 to 40 percent slopes,MvD,{0887CEB8-0797-4421-9666-3BC35A44BABE},,,,,0,0
2346,128648,SoilPly_2368,Sc,"Sassafras gravelly sandy loam, 15 to 40 percent slopes",D,Sassafras gravelly sandy loam,15 to 40 percent slopes,ScD,{7524EEC3-C19D-4BD9-84CB-2A11872DED77},,,,,0,0
2347,128639,SoilPly_2369,Mv,"Muirkirk variant complex, 15 to 40 percent slopes",D,Muirkirk variant complex,15 to 40 percent slopes,MvD,{5CF5EF33-8964-410E-8CBA-9C49F97C7CF6},,,,,0,0
2348,128658,SoilPly_2370,U1,Udorthents, ,Udorthents, ,U1,{8E8C3592-BF26-4148-8C96-3F99A52069D7},,,,,0,0
2349,128591,SoilPly_2371,Cw,"Croom very gravelly sandy loam, 8 to 15 percent slopes",C,Croom very gravelly sandy loam,8 to 15 percent slopes,CwC,{0C248A53-8D8B-4095-A6F9-878270E9BB74},,,,,0,0
2350,128658,SoilPly_2372,U1,Udorthents, ,Udorthents, ,U1,{016D9B87-D9CE-4E34-98C6-514FA6857067},,,,,0,0
2351,128672,SoilPly_2373,Ub,Urban Land, ,Urban Land, ,Ub,{CD4513B2-E231-4414-BB63-92012D8273AC},,,,,0,0
2352,128639,SoilPly_2374,Mv,"Muirkirk variant complex, 15 to 40 percent slopes",D,Muirkirk variant complex,15 to 40 percent slopes,MvD,{20693E47-EC21-4AB4-A43B-8BE69E476ACB},,,,,0,0
2353,128658,SoilPly_2375,U1,Udorthents, ,Udorthents, ,U1,{712C5194-3819-4BAD-8B14-9DD792A86DA9},,,,,0,0
2354,128639,SoilPly_2376,Mv,"Muirkirk variant complex, 15 to 40 percent slopes",D,Muirkirk variant complex,15 to 40 percent slopes,MvD,{15BD98C0-C8C9-4BFD-933E-3CF13D43953F},,,,,0,0
2355,128638,SoilPly_2377,Mv,"Muirkirk variant complex, 8 to 15 percent slopes",C,Muirkirk variant complex,8 to 15 percent slopes,MvC,{07FB5106-E4CD-4328-82EC-D4E144BAB587},,,,,0,0
2356,128658,SoilPly_2378,U1,Udorthents, ,Udorthents, ,U1,{D5230404-C646-429B-BFB4-CE57431A908A},,,,,0,0
2357,128676,SoilPly_2379,Ue,"Urban land-Chillum complex, 8 to 15 percent slopes",C,Urban land-Chillum complex,8 to 15 percent slopes,UeC,{C51D025F-821C-4C82-BFA9-368788BAD459},,,,,0,0
2358,128584,SoilPly_2308,Ce,"Christiana silt loam, 15 to 40 percent slopes",D,Christiana silt loam,15 to 40 percent slopes,CeD,{6839E241-3D6E-45A9-BF72-C346C312FBEE},,,,,0,0
2359,128668,SoilPly_2309,U7,"Udorthents, Gravelly, Smoothed", ,"Udorthents, Gravelly, Smoothed", ,U7,{CC1AD0E7-4BC1-439D-8BB3-BE7936CF728D},,,,,0,0
2360,128672,SoilPly_2310,Ub,Urban Land, ,Urban Land, ,Ub,{930A29DD-1203-440B-B97A-C6009A3E737D},,,,,0,0
